Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime,Opening_YM
 NS1  EW24  JE5 ,Jurong East,裕廊东,ஜூரோங் கிழக்கு,10 March 1990,Jurong East,JUR,Jurong East,Bus transport Jurong East Temporary Bus Interchange,1.3328572,103.7435522,1990-03-01T00:00:00Z,1990-03
 NS2 ,Bukit Batok,武吉巴督,புக்கிட் பாத்தோக்,10 March 1990,Bukit Batok South,BBT,Bukit Batok,Bus transport Bukit Batok Bus Interchange,1.3490636,103.74958829999998,1990-03-01T00:00:00Z,1990-03
 NS3 ,Bukit Gombak,武吉甘柏,புக்கிட் கோம்பாக்,10 March 1990,Bukit Batok North,BGB,Bukit Batok,,1.3589147,103.7518308,1990-03-01T00:00:00Z,1990-03
 NS4  JS1  BP1 ,Choa Chu Kang,蔡厝港,சுவா சூ காங்,10 March 1990,Choa Chu Kang,CCK,Choa Chu Kang,Bus transport Choa Chu Kang Bus Interchange,1.3853846,103.7443373,1990-03-01T00:00:00Z,1990-03
 NS5 ,Yew Tee,油池,இயூ டீ,10 February 1996,Choa Chu Kang North,YWT,Choa Chu Kang,,1.3973289,103.7475018,1996-02-01T00:00:00Z,1996-02
 NS7 ,Kranji,克兰芝,கிராஞ்சி,10 February 1996,Kranji,KRJ,Sungei Kadut,,1.4252268,103.7620278,1996-02-01T00:00:00Z,1996-02
 NS8 ,Marsiling,马西岭,மார்சிலிங்,10 February 1996,Woodlands West,MSL,Woodlands,,1.4325578,103.77416070000001,1996-02-01T00:00:00Z,1996-02
 NS9  TE2 ,Woodlands,兀兰,ஊட்லண்ட்ஸ்,10 February 1996,Woodlands Central,WDL,Woodlands,Bus transport Woodlands Temporary Bus Interchange,1.436962,103.786555,1996-02-01T00:00:00Z,1996-02
 NS10 ,Admiralty,海军部,அட்மிரல்ட்டி,10 February 1996,Woodlands East,ADM,Woodlands,,1.440613,103.8009629,1996-02-01T00:00:00Z,1996-02
 NS11 ,Sembawang,三巴旺,செம்பாவாங்,10 February 1996,Sembawang,SBW,Sembawang,Bus transport Sembawang Bus Interchange,1.44909,103.820049,1996-02-01T00:00:00Z,1996-02
 NS13 ,Yishun,义顺,யீஷூன்,20 December 1988,Nee Soon North,YIS,Yishun,Bus transport Yishun Temporary Bus Interchange,1.4294295,103.83502829999999,1988-12-01T00:00:00Z,1988-12
 NS14 ,Khatib,卡迪,காதிப்,20 December 1988,Nee Soon South,KTB,Yishun,,1.4173483,103.83297309999999,1988-12-01T00:00:00Z,1988-12
 NS15 ,Yio Chu Kang,杨厝港,இயோ சூ காங்,7 November 1987,Yio Chu Kang,YCK,Ang Mo Kio,Bus transport Yio Chu Kang Bus Interchange,1.3817217,103.844934,1987-11-01T00:00:00Z,1987-11
 NS16  CR11 ,Ang Mo Kio,宏茂桥,அங் மோ கியோ,7 November 1987,Ang Mo Kio,AMK,Ang Mo Kio,Bus transport Ang Mo Kio Bus Interchange,1.3699718,103.84958759999999,1987-11-01T00:00:00Z,1987-11
 NS17  CC15 ,Bishan,碧山,பீஷான்,7 November 1987,"Kampong San Teng, San Teng",BSH,Bishan,Bus transport Bishan Bus Interchange,1.3508448999999998,103.8481737,1987-11-01T00:00:00Z,1987-11
 NS18 ,Braddell,布莱德,பிரேடல்,7 November 1987,Braddell,BDL,Toa Payoh,,1.3405397,103.8470762,1987-11-01T00:00:00Z,1987-11
 NS19 ,Toa Payoh,大巴窑,தோ பாயோ,7 November 1987,Toa Payoh,TAP,Toa Payoh,Bus transport Toa Payoh Bus Interchange,1.3323296999999998,103.8474252,1987-11-01T00:00:00Z,1987-11
