Lines,Station_Name,Opening,End date,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime
 NS1  EW24  JE5 ,Jurong East,3/10/1990,4/20/2019,Jurong East,JUR,Jurong East,Bus transport Jurong East Temporary Bus Interchange,1.3328572,103.7435522,1990-03-10T00:00:00Z
 NS2 ,Bukit Batok,3/10/1990,4/20/2019,Bukit Batok South,BBT,Bukit Batok,Bus transport Bukit Batok Bus Interchange,1.3490636,103.7495883,1990-03-10T00:00:00Z
 NS3 ,Bukit Gombak,3/10/1990,4/20/2019,Bukit Batok North,BGB,Bukit Batok,,1.3589147,103.7518308,1990-03-10T00:00:00Z
 NS4  JS1  BP1 ,Choa Chu Kang,3/10/1990,4/20/2019,Choa Chu Kang,CCK,Choa Chu Kang,Bus transport Choa Chu Kang Bus Interchange,1.3853846,103.7443373,1990-03-10T00:00:00Z
 NS5 ,Yew Tee,2/10/1996,4/20/2019,Choa Chu Kang North,YWT,Choa Chu Kang,,1.3973289,103.7475018,1996-02-10T00:00:00Z
 NS7 ,Kranji,2/10/1996,4/20/2019,Kranji,KRJ,Sungei Kadut,,1.4252268,103.7620278,1996-02-10T00:00:00Z
 NS8 ,Marsiling,2/10/1996,4/20/2019,Woodlands West,MSL,Woodlands,,1.4325578,103.7741607,1996-02-10T00:00:00Z
 NS9  TE2 ,Woodlands,2/10/1996,4/20/2019,Woodlands Central,WDL,Woodlands,Bus transport Woodlands Temporary Bus Interchange,1.436962,103.786555,1996-02-10T00:00:00Z
 NS10 ,Admiralty,2/10/1996,4/20/2019,Woodlands East,ADM,Woodlands,,1.440613,103.8009629,1996-02-10T00:00:00Z
 NS11 ,Sembawang,2/10/1996,4/20/2019,Sembawang,SBW,Sembawang,Bus transport Sembawang Bus Interchange,1.44909,103.820049,1996-02-10T00:00:00Z
 NS13 ,Yishun,12/20/1988,4/20/2019,Nee Soon North,YIS,Yishun,Bus transport Yishun Temporary Bus Interchange,1.4294295,103.8350283,1988-12-20T00:00:00Z
 NS14 ,Khatib,12/20/1988,4/20/2019,Nee Soon South,KTB,Yishun,,1.4173483,103.8329731,1988-12-20T00:00:00Z
 NS15 ,Yio Chu Kang,11/7/1987,4/20/2019,Yio Chu Kang,YCK,Ang Mo Kio,Bus transport Yio Chu Kang Bus Interchange,1.3817217,103.844934,1987-11-07T00:00:00Z
 NS16  CR11 ,Ang Mo Kio,11/7/1987,4/20/2019,Ang Mo Kio,AMK,Ang Mo Kio,Bus transport Ang Mo Kio Bus Interchange,1.3699718,103.8495876,1987-11-07T00:00:00Z
 NS17  CC15 ,Bishan,11/7/1987,4/20/2019,"Kampong San Teng, San Teng",BSH,Bishan,Bus transport Bishan Bus Interchange,1.3508449,103.8481737,1987-11-07T00:00:00Z
 NS18 ,Braddell,11/7/1987,4/20/2019,Braddell,BDL,Toa Payoh,,1.3405397,103.8470762,1987-11-07T00:00:00Z
 NS19 ,Toa Payoh,11/7/1987,4/20/2019,Toa Payoh,TAP,Toa Payoh,Bus transport Toa Payoh Bus Interchange,1.3323297,103.8474252,1987-11-07T00:00:00Z
 NS20 ,Novena,12/12/1987,4/20/2019,Thomson,NOV,Novena,,1.3200248,103.8433833,1987-12-12T00:00:00Z
