school,lat,lon
Nanyang Primary School ,1.3210855,103.8077117
Tao Nan School ,1.3049059,103.911434
Ai Tong School ,1.3610213,103.8326758
Maha Bodhi School ,1.3284092,103.9015303
Rosyth School ,1.3729086,103.8746431
Pei Chun Public School ,1.3332385,103.8589626
Henry Park Primary School ,1.3167825,103.7841363
Chongfu School ,1.4388464,103.8393785
Mee Toh School ,1.3947729,103.9089333
St. Hilda’s Primary School ,1.3496891,103.9361065
South View Primary School  ,1.381324,103.7471451
Pei Hwa Presbyterian Primary School ,1.3383118,103.7755411
Nan Chiau Primary School ,1.3924139,103.8902853
Kong Hwa School ,1.3110886,103.8881775
Holy Innocents’ Primary School ,1.366573,103.893711
Rulang Primary School ,1.34694,103.71896
Fairfield Methodist School (Primary) ,1.3007145,103.7857661
Anglo-Chinese School (Junior) ,1.308957,103.841503
Maris Stella High School ,1.3430897,103.878766
Catholic High School ,1.3993707,103.8719037
Nanyang Girls’ High School IP SAP (girls) ,1.3306207,103.8023725
Raffles Girls’ School (Secondary) IP (girls) ,1.311665,103.8287358
Methodist Girls’ School (Secondary) IB (girls) ,1.332891,103.7834119
Hwa Chong Institution IP SAP (boys) ,1.3264685,103.8027546
Raffles Institution IP (boys) ,1.3466789,103.8434279
CHIJ St. Nicholas Girls’ School IP SAP (girls) ,1.3743731,103.8342158
Anglo-Chinese School (Independent) IB (co-ed) ,1.3025841,103.7807147
National Junior College IP  ,1.330476,103.8045
Dunman High School IP SAP ,1.2991302,103.882239
Cedar Girls’ Secondary School IP (girls) ,1.3342746,103.8741655
Catholic High School IP SAP (boys) ,1.3546049,103.8451234
St. Joseph’s Institution IB (boys) ,1.3232072,103.828375
Singapore Chinese Girls’ School IP (girls) ,1.3212977,103.828876
Victoria School IP (boys) ,1.3085869,103.9274992
"River Valley High School IP SAP (co-ed)	 ",1.3439106,103.7096272
Paya Lebar Methodist Girls’ School (Secondary) (girls) ,1.3508153,103.8855103
Temasek Junior College IP  ,1.3186051,103.9355346
Anderson Secondary School  ,1.3750929,103.8516001
Bukit Panjang Govt. High School ,1.3818716,103.7385804
Nan Chiau High School SAP  ,1.3894102,103.8899815
